Siparis_ID,Urun_Tipi,Siparis_Adedi,Hedef_Gramaj_g,Geri_Donusumlu_Kagit_Orani,Hammadde_Nem_Orani,Firin_Hizi_m_dk,Firin_Sicakligi_C,Dogalgaz_Tuketimi_m3,Elektrik_Tuketimi_kWh
S-10878,Endüstriyel Ambalaj Viyolu,70161,116,0.76,0.08,17.79,188.6,1002.92,760.7
S-10879,Premium Meyve Viyolu,39603,69,0.94,0.064,18.91,218.6,436.98,630.31
S-10880,Standart Yumurta Viyolu,95686,55,0.9,0.104,35.31,221.0,267.41,1201.3
S-10881,Standart Yumurta Viyolu,22255,51,0.71,0.096,41.73,214.2,347.1,738.52
S-10882,Endüstriyel Ambalaj Viyolu,59436,115,0.9,0.148,44.57,221.2,474.77,1014.62
S-10883,Endüstriyel Ambalaj Viyolu,17355,120,0.73,0.128,42.31,203.0,598.53,798.15
S-10884,Standart Yumurta Viyolu,32463,46,0.83,0.081,37.86,236.2,295.77,803.68
S-10885,Endüstriyel Ambalaj Viyolu,66873,121,0.78,0.057,23.04,234.7,1027.11,859.06
S-10886,Oluklu Mukavva Kutu,84167,174,0.78,0.122,15.84,202.5,1715.11,869.51
S-10887,Standart Yumurta Viyolu,40115,48,0.95,0.074,34.57,204.3,172.52,802.57
S-10888,Endüstriyel Ambalaj Viyolu,45532,82,0.71,0.141,23.09,229.2,1056.81,658.96
S-10889,Standart Yumurta Viyolu,99709,49,0.99,0.142,30.09,227.7,224.31,1115.68
S-10890,Standart Yumurta Viyolu,33508,50,0.78,0.132,26.35,185.3,389.84,701.63
S-10891,Standart Yumurta Viyolu,37152,54,0.75,0.149,39.63,196.9,365.83,804.08
S-10892,Premium Meyve Viyolu,62205,89,0.98,0.1,40.29,206.8,246.81,1044.86
S-10893,Standart Yumurta Viyolu,49226,47,0.75,0.086,34.12,184.2,296.38,775.63
S-10894,Premium Meyve Viyolu,84277,86,1.0,0.097,39.48,205.9,205.25,1201.39
S-10895,Endüstriyel Ambalaj Viyolu,98740,114,0.97,0.091,33.13,217.8,349.61,1147.61
S-10896,Oluklu Mukavva Kutu,60311,185,0.73,0.052,41.21,194.2,695.15,972.77
S-10897,Standart Yumurta Viyolu,75639,50,0.8,0.101,19.88,237.6,677.93,832.79
S-10898,Standart Yumurta Viyolu,22803,51,0.74,0.051,15.6,215.2,717.91,403.73
S-10899,Premium Meyve Viyolu,19963,70,0.7,0.092,36.54,206.6,444.58,709.49
S-10900,Endüstriyel Ambalaj Viyolu,52778,81,0.94,0.109,21.32,194.2,476.78,731.13
S-10901,Oluklu Mukavva Kutu,69054,275,0.82,0.076,41.01,220.2,924.66,937.29
S-10902,Premium Meyve Viyolu,56636,77,0.76,0.113,25.76,239.7,705.7,706.93
S-10903,Endüstriyel Ambalaj Viyolu,66603,91,0.87,0.142,39.02,207.1,445.71,1087.18
S-10904,Endüstriyel Ambalaj Viyolu,21232,129,0.85,0.069,28.92,194.7,574.97,620.21
S-10905,Oluklu Mukavva Kutu,42302,168,0.99,0.103,33.95,212.6,425.1,772.16
S-10906,Standart Yumurta Viyolu,45123,47,0.73,0.112,28.41,226.7,474.6,740.0
S-10907,Endüstriyel Ambalaj Viyolu,93086,89,0.82,0.143,36.31,205.1,488.72,1162.43
S-10908,Endüstriyel Ambalaj Viyolu,51507,103,1.0,0.117,23.56,215.1,418.8,706.39
S-10909,Standart Yumurta Viyolu,21995,45,0.77,0.122,38.3,220.4,348.42,729.83
S-10910,Oluklu Mukavva Kutu,68292,242,0.72,0.083,22.45,239.3,2204.96,809.98
S-10911,Oluklu Mukavva Kutu,23399,183,0.91,0.071,22.17,196.9,758.99,527.74
S-10912,Standart Yumurta Viyolu,34561,51,0.71,0.138,43.97,200.5,351.92,890.67
S-10913,Endüstriyel Ambalaj Viyolu,83005,115,0.74,0.066,38.7,217.0,589.7,1102.84
S-10914,Endüstriyel Ambalaj Viyolu,23538,81,0.79,0.087,38.09,228.7,486.66,726.32
S-10915,Standart Yumurta Viyolu,56388,53,0.82,0.127,29.52,233.9,453.5,860.69
S-10916,Standart Yumurta Viyolu,88240,54,0.94,0.135,23.67,237.1,464.08,1023.91
S-10917,Oluklu Mukavva Kutu,60493,153,0.89,0.052,43.81,182.7,368.18,1043.57
S-10918,Oluklu Mukavva Kutu,64238,249,0.9,0.132,15.4,212.5,1934.61,630.74
S-10919,Standart Yumurta Viyolu,83339,48,0.72,0.118,30.1,225.9,456.37,1020.86
S-10920,Premium Meyve Viyolu,99825,72,0.89,0.067,41.17,216.8,264.84,1264.62
S-10921,Premium Meyve Viyolu,28198,68,0.89,0.075,39.11,229.1,303.38,785.43
S-10922,Oluklu Mukavva Kutu,45180,276,0.84,0.125,18.97,212.8,1943.23,643.82
S-10923,Premium Meyve Viyolu,18292,65,0.83,0.135,40.68,186.0,306.02,715.22
S-10924,Endüstriyel Ambalaj Viyolu,46170,106,0.96,0.063,36.6,186.1,236.39,903.33
S-10925,Oluklu Mukavva Kutu,73469,169,0.94,0.073,34.18,194.1,475.05,1023.2
S-10926,Oluklu Mukavva Kutu,42990,213,0.74,0.137,32.81,187.6,1051.89,785.14
S-10927,Endüstriyel Ambalaj Viyolu,87831,119,0.91,0.126,18.17,210.4,932.92,909.65
S-10928,Premium Meyve Viyolu,70012,63,0.86,0.089,40.45,209.6,269.33,925.73
S-10929,Premium Meyve Viyolu,49932,60,0.95,0.133,27.11,200.0,350.43,760.47
S-10930,Endüstriyel Ambalaj Viyolu,53544,119,0.77,0.129,29.59,200.0,782.2,809.95
S-10931,Endüstriyel Ambalaj Viyolu,53193,108,0.98,0.081,20.07,207.6,493.7,651.5
S-10932,Oluklu Mukavva Kutu,66441,184,0.87,0.086,28.42,237.9,912.61,867.62
S-10933,Oluklu Mukavva Kutu,52030,201,0.77,0.096,37.79,192.4,877.19,896.38
S-10934,Endüstriyel Ambalaj Viyolu,51180,91,0.8,0.106,21.15,224.5,902.03,699.47
S-10935,Endüstriyel Ambalaj Viyolu,51830,98,0.81,0.122,24.58,234.4,877.6,746.33
S-10936,Endüstriyel Ambalaj Viyolu,85481,130,0.85,0.058,20.88,236.6,953.43,935.12
S-10937,Premium Meyve Viyolu,52714,72,0.98,0.104,23.09,222.1,380.24,704.62
S-10938,Oluklu Mukavva Kutu,61502,243,0.72,0.061,15.12,240.0,2829.43,718.59
S-10939,Standart Yumurta Viyolu,83905,48,0.85,0.08,19.54,197.1,442.96,876.33
S-10940,Premium Meyve Viyolu,99353,84,0.86,0.058,15.54,186.1,678.87,946.88
S-10941,Standart Yumurta Viyolu,70505,48,0.89,0.13,28.99,201.7,299.96,943.92
S-10942,Endüstriyel Ambalaj Viyolu,48185,124,0.85,0.099,33.75,236.8,723.2,916.78
S-10943,Standart Yumurta Viyolu,63627,55,0.72,0.056,20.62,181.9,501.94,810.66
S-10944,Endüstriyel Ambalaj Viyolu,28242,120,0.74,0.134,19.64,198.1,1179.9,510.12
S-10945,Oluklu Mukavva Kutu,41722,214,0.78,0.099,27.22,239.2,1492.09,702.84
S-10946,Premium Meyve Viyolu,65460,85,0.72,0.134,30.36,211.6,669.59,918.28
S-10947,Endüstriyel Ambalaj Viyolu,19694,108,0.76,0.082,32.8,192.6,551.25,666.45
S-10948,Endüstriyel Ambalaj Viyolu,86315,105,0.74,0.065,35.92,218.6,563.49,1133.23
S-10949,Endüstriyel Ambalaj Viyolu,81256,82,0.77,0.134,21.28,184.4,713.09,961.69
S-10950,Oluklu Mukavva Kutu,80373,171,0.98,0.115,17.71,236.9,946.58,813.25
S-10951,Standart Yumurta Viyolu,42536,55,0.82,0.055,29.9,187.4,267.82,721.45
S-10952,Oluklu Mukavva Kutu,31802,161,0.93,0.13,19.6,202.0,897.2,553.52
S-10953,Endüstriyel Ambalaj Viyolu,53463,130,0.94,0.121,20.71,202.0,727.19,692.44
S-10954,Endüstriyel Ambalaj Viyolu,23886,80,0.74,0.149,38.42,203.4,551.07,740.95
S-10955,Standart Yumurta Viyolu,43913,48,0.87,0.067,26.36,230.6,370.97,759.08
S-10956,Premium Meyve Viyolu,68429,71,0.96,0.139,42.59,185.7,223.34,1089.0
S-10957,Endüstriyel Ambalaj Viyolu,70694,129,0.93,0.111,20.0,227.8,842.35,827.33
S-10958,Premium Meyve Viyolu,55215,60,0.84,0.067,25.12,181.1,366.87,711.94
S-10959,Endüstriyel Ambalaj Viyolu,23703,98,0.89,0.116,40.09,192.9,359.08,792.3
S-10960,Endüstriyel Ambalaj Viyolu,21253,87,0.99,0.06,24.09,218.3,333.41,542.72
S-10961,Premium Meyve Viyolu,55656,69,0.72,0.105,32.73,219.2,528.67,827.84
S-10962,Oluklu Mukavva Kutu,69681,202,0.95,0.069,39.81,213.8,504.84,1091.39
S-10963,Endüstriyel Ambalaj Viyolu,55652,110,0.76,0.107,41.03,205.9,551.08,993.7
S-10964,Standart Yumurta Viyolu,67431,52,0.74,0.089,43.55,199.2,272.78,1070.71
S-10965,Oluklu Mukavva Kutu,18804,226,0.92,0.081,38.49,206.6,662.17,701.82
S-10966,Standart Yumurta Viyolu,25084,45,0.81,0.094,26.29,202.0,383.01,601.3
S-10967,Oluklu Mukavva Kutu,94930,177,0.81,0.102,35.12,196.2,773.55,1151.66
S-10968,Premium Meyve Viyolu,41970,76,0.92,0.108,34.43,181.8,282.08,883.08
S-10969,Premium Meyve Viyolu,82339,65,0.86,0.086,17.44,191.6,550.12,884.08
S-10970,Oluklu Mukavva Kutu,83380,259,0.84,0.055,16.13,223.0,1981.75,962.06
S-10971,Endüstriyel Ambalaj Viyolu,40389,105,0.77,0.124,20.05,191.4,872.51,614.9
S-10972,Premium Meyve Viyolu,34430,80,0.77,0.115,34.53,229.5,559.77,753.86
S-10973,Endüstriyel Ambalaj Viyolu,61849,81,0.78,0.148,32.89,222.6,633.66,907.98
S-10974,Premium Meyve Viyolu,68926,78,0.71,0.107,42.62,238.1,479.47,1167.64
S-10975,Endüstriyel Ambalaj Viyolu,60965,80,0.98,0.117,16.95,207.9,494.82,673.63
S-10976,Premium Meyve Viyolu,36972,68,0.84,0.108,25.7,189.9,478.37,669.11
S-10977,Standart Yumurta Viyolu,85674,46,0.9,0.084,43.07,234.7,220.46,1219.43
S-10978,Premium Meyve Viyolu,57945,70,0.99,0.139,33.02,211.8,280.37,868.36
S-10979,Premium Meyve Viyolu,69972,63,0.87,0.124,23.39,213.9,510.19,827.68
S-10980,Oluklu Mukavva Kutu,97910,275,0.93,0.119,44.72,196.7,566.45,1291.92
S-10981,Oluklu Mukavva Kutu,88246,249,0.83,0.136,35.53,232.9,1279.34,1107.8
S-10982,Endüstriyel Ambalaj Viyolu,86939,87,0.72,0.139,24.87,198.9,847.08,984.31
S-10983,Oluklu Mukavva Kutu,56135,267,0.71,0.085,40.7,203.8,1073.66,921.07
S-10984,Premium Meyve Viyolu,98288,82,0.82,0.142,37.86,210.3,474.79,1227.23
S-10985,Oluklu Mukavva Kutu,90541,171,0.72,0.076,28.08,189.4,985.35,980.43
S-10986,Premium Meyve Viyolu,51049,63,0.92,0.144,41.45,210.9,275.51,1005.34
S-10987,Premium Meyve Viyolu,50026,63,0.87,0.061,18.78,211.8,536.27,732.88
S-10988,Premium Meyve Viyolu,58929,82,0.99,0.098,16.91,213.1,424.18,686.03
S-10989,Premium Meyve Viyolu,76954,72,0.97,0.069,33.46,204.3,223.11,1007.58
S-10990,Endüstriyel Ambalaj Viyolu,88174,88,0.78,0.119,43.46,196.1,400.68,1217.96
S-10991,Endüstriyel Ambalaj Viyolu,65448,91,0.98,0.127,34.74,229.4,337.81,965.3
S-10992,Endüstriyel Ambalaj Viyolu,93296,114,0.91,0.142,30.51,187.0,470.71,1096.09
S-10993,Premium Meyve Viyolu,82733,65,0.88,0.098,33.68,180.6,278.61,1002.28
S-10994,Endüstriyel Ambalaj Viyolu,47858,88,0.99,0.088,27.73,222.9,297.3,788.79
S-10995,Premium Meyve Viyolu,51232,86,0.82,0.072,43.98,187.8,302.62,978.04
S-10996,Endüstriyel Ambalaj Viyolu,91187,83,0.77,0.128,21.04,184.8,735.7,964.64
S-10997,Oluklu Mukavva Kutu,11256,274,0.73,0.131,38.14,234.9,1580.3,672.81
S-10998,Premium Meyve Viyolu,35575,86,0.72,0.128,40.37,227.9,552.03,837.36
S-10999,Endüstriyel Ambalaj Viyolu,83607,112,0.95,0.123,44.42,189.3,277.35,1164.94
S-11000,Endüstriyel Ambalaj Viyolu,63626,123,0.94,0.069,17.0,239.9,909.0,725.55
S-11001,Endüstriyel Ambalaj Viyolu,64477,125,0.87,0.14,42.79,180.5,422.8,1043.68
S-11002,Endüstriyel Ambalaj Viyolu,74054,90,0.9,0.139,28.8,216.4,550.71,926.91
S-11003,Standart Yumurta Viyolu,84107,45,0.99,0.077,29.84,185.2,142.36,1144.39
S-11004,Premium Meyve Viyolu,48284,61,0.74,0.094,25.02,211.3,567.85,734.56
S-11005,Oluklu Mukavva Kutu,39470,287,0.93,0.121,25.99,183.2,944.41,657.37
S-11006,Oluklu Mukavva Kutu,32047,267,0.76,0.108,19.65,201.4,2091.48,604.75
S-11007,Endüstriyel Ambalaj Viyolu,82053,112,0.82,0.092,31.86,180.4,512.26,1017.17
S-11008,Standart Yumurta Viyolu,85066,46,0.98,0.077,26.11,214.1,201.7,994.68
S-11009,Oluklu Mukavva Kutu,81186,243,0.9,0.091,29.12,182.9,820.63,973.57
S-11010,Standart Yumurta Viyolu,67850,53,0.84,0.08,26.52,231.3,404.18,911.82
S-11011,Premium Meyve Viyolu,65725,63,0.74,0.075,42.62,214.9,389.61,1093.68
S-11012,Premium Meyve Viyolu,49021,87,0.81,0.131,30.7,187.0,520.44,772.22
S-11013,Standart Yumurta Viyolu,68947,49,0.98,0.081,41.09,225.8,156.9,1039.71
S-11014,Oluklu Mukavva Kutu,21401,262,0.76,0.087,30.05,223.5,1440.97,596.68
S-11015,Standart Yumurta Viyolu,41056,48,0.85,0.104,39.55,190.3,233.62,894.47
S-11016,Oluklu Mukavva Kutu,89988,259,0.87,0.12,27.36,188.3,1111.78,1118.72
S-11017,Premium Meyve Viyolu,90760,64,0.89,0.084,42.21,215.2,256.95,1175.47
S-11018,Premium Meyve Viyolu,37124,85,0.93,0.129,29.84,233.7,462.39,674.53
S-11019,Standart Yumurta Viyolu,84720,50,0.97,0.14,35.57,231.5,219.95,1073.88
S-11020,Oluklu Mukavva Kutu,88231,287,0.77,0.092,22.54,199.2,1717.79,935.5
S-11021,Premium Meyve Viyolu,52421,82,0.87,0.094,25.4,224.8,574.51,778.32
S-11022,Oluklu Mukavva Kutu,47923,296,0.8,0.124,19.56,187.8,2067.97,651.62
S-11023,Oluklu Mukavva Kutu,77425,174,0.77,0.056,18.95,231.5,1402.73,875.3
S-11024,Premium Meyve Viyolu,63948,89,0.87,0.103,34.66,194.0,384.1,981.4
S-11025,Standart Yumurta Viyolu,46349,55,0.91,0.052,26.18,201.1,264.54,737.75
S-11026,Premium Meyve Viyolu,27392,67,0.94,0.072,35.31,228.2,291.79,733.77
S-11027,Premium Meyve Viyolu,52217,86,0.9,0.086,39.27,197.7,326.46,947.65
S-11028,Premium Meyve Viyolu,98635,72,0.81,0.08,28.78,229.1,525.55,1140.07
S-11029,Endüstriyel Ambalaj Viyolu,28634,116,0.9,0.14,17.96,193.9,910.4,533.19
S-11030,Oluklu Mukavva Kutu,92288,256,0.96,0.092,17.68,206.3,1137.25,895.54
S-11031,Endüstriyel Ambalaj Viyolu,69243,84,0.93,0.058,39.83,205.7,242.0,1055.94
S-11032,Standart Yumurta Viyolu,62802,53,0.8,0.059,43.85,228.4,250.4,1045.11
S-11033,Oluklu Mukavva Kutu,58374,266,0.98,0.084,19.83,213.8,1055.98,743.59
S-11034,Endüstriyel Ambalaj Viyolu,52898,117,0.84,0.149,35.38,184.4,559.74,826.32
S-11035,Standart Yumurta Viyolu,22208,52,0.79,0.059,15.04,207.0,642.94,466.06
S-11036,Oluklu Mukavva Kutu,18300,286,1.0,0.079,23.41,189.6,661.69,503.2
S-11037,Endüstriyel Ambalaj Viyolu,38551,107,0.94,0.141,44.25,193.9,309.24,929.38
S-11038,Premium Meyve Viyolu,74843,68,0.73,0.137,34.08,189.9,433.5,992.64
S-11039,Oluklu Mukavva Kutu,47171,236,0.92,0.095,44.68,183.3,495.53,878.0
S-11040,Premium Meyve Viyolu,84205,87,0.85,0.082,36.88,232.5,452.73,1161.49
S-11041,Endüstriyel Ambalaj Viyolu,55054,123,0.95,0.08,26.95,199.0,411.16,792.44
S-11042,Standart Yumurta Viyolu,16021,46,0.99,0.081,17.94,211.6,267.44,413.1
S-11043,Endüstriyel Ambalaj Viyolu,12134,87,0.83,0.13,37.18,205.6,436.04,615.99
S-11044,Premium Meyve Viyolu,67840,74,0.93,0.055,15.38,227.7,570.62,743.5
S-11045,Standart Yumurta Viyolu,66072,48,0.77,0.143,40.79,222.6,400.42,945.47
S-11046,Premium Meyve Viyolu,95196,69,0.99,0.147,21.46,228.7,400.54,971.59
S-11047,Premium Meyve Viyolu,45916,62,0.9,0.091,42.95,185.3,213.87,934.72
S-11048,Oluklu Mukavva Kutu,42819,171,0.97,0.066,26.0,217.1,535.64,648.44
S-11049,Oluklu Mukavva Kutu,97098,192,0.88,0.057,21.8,235.9,1131.39,1018.79
S-11050,Standart Yumurta Viyolu,61949,55,0.71,0.083,33.84,196.5,379.5,955.98
S-11051,Oluklu Mukavva Kutu,40689,259,0.72,0.141,43.73,184.7,929.07,920.57
S-11052,Standart Yumurta Viyolu,22475,45,0.82,0.068,32.34,237.5,311.57,654.33
S-11053,Premium Meyve Viyolu,72496,62,0.89,0.084,40.68,206.1,241.02,1056.78
S-11054,Premium Meyve Viyolu,87814,67,0.93,0.077,38.02,192.4,213.78,1056.37
S-11055,Endüstriyel Ambalaj Viyolu,11217,80,0.98,0.143,21.21,201.5,422.66,426.13
S-11056,Oluklu Mukavva Kutu,25806,258,0.84,0.14,42.9,203.0,955.73,801.89
S-11057,Premium Meyve Viyolu,72613,62,0.94,0.05,24.6,205.3,278.64,865.28
S-11058,Premium Meyve Viyolu,60209,62,0.71,0.114,22.88,183.1,608.05,766.65
S-11059,Standart Yumurta Viyolu,23526,50,0.96,0.098,27.48,238.7,274.73,587.41
S-11060,Oluklu Mukavva Kutu,49223,185,0.79,0.067,26.38,234.7,1104.18,810.01
S-11061,Endüstriyel Ambalaj Viyolu,27451,121,0.98,0.055,21.31,214.0,463.27,556.61
S-11062,Premium Meyve Viyolu,18966,76,0.82,0.115,35.94,218.3,442.72,667.07
S-11063,Standart Yumurta Viyolu,89995,55,0.83,0.063,43.43,208.5,251.4,1189.44
S-11064,Premium Meyve Viyolu,67684,71,0.85,0.081,39.36,232.0,355.59,1037.42
S-11065,Premium Meyve Viyolu,92323,83,0.87,0.126,19.1,193.7,672.11,1011.45
S-11066,Premium Meyve Viyolu,63963,79,0.83,0.051,39.58,201.6,344.31,1028.94
S-11067,Endüstriyel Ambalaj Viyolu,38474,85,0.91,0.146,30.94,204.0,445.07,754.06
S-11068,Standart Yumurta Viyolu,28351,46,0.79,0.063,40.28,201.7,229.95,853.26
S-11069,Endüstriyel Ambalaj Viyolu,56076,107,0.76,0.11,16.82,204.8,1077.38,730.24
S-11070,Oluklu Mukavva Kutu,28327,213,0.92,0.133,38.14,182.3,598.67,719.69
S-11071,Oluklu Mukavva Kutu,94491,171,0.98,0.133,40.28,198.2,378.78,1094.25
S-11072,Premium Meyve Viyolu,82534,79,0.75,0.053,43.41,194.4,324.84,1170.71
S-11073,Oluklu Mukavva Kutu,13515,227,0.98,0.108,35.01,234.7,679.11,589.81
S-11074,Premium Meyve Viyolu,77862,79,0.71,0.069,39.94,226.0,449.73,1038.93
S-11075,Premium Meyve Viyolu,61347,69,0.86,0.05,22.24,192.5,431.27,766.32
S-11076,Standart Yumurta Viyolu,41370,52,0.78,0.069,30.13,231.9,406.97,747.16
S-11077,Endüstriyel Ambalaj Viyolu,24777,95,0.81,0.125,31.52,229.0,672.01,725.24
S-11078,Endüstriyel Ambalaj Viyolu,93634,118,0.71,0.148,26.5,189.1,892.64,1086.5
S-11079,Standart Yumurta Viyolu,79243,45,0.88,0.109,28.37,230.2,335.42,910.31
S-11080,Oluklu Mukavva Kutu,51480,183,0.86,0.116,38.52,203.7,659.32,931.77
S-11081,Endüstriyel Ambalaj Viyolu,84498,106,0.98,0.088,36.89,181.2,237.78,1047.38
S-11082,Oluklu Mukavva Kutu,81612,194,0.96,0.103,42.9,209.0,430.08,1164.05
S-11083,Endüstriyel Ambalaj Viyolu,19567,81,0.94,0.075,41.99,234.6,278.37,771.8
S-11084,Standart Yumurta Viyolu,11807,49,0.9,0.128,18.93,216.1,481.02,414.87
S-11085,Premium Meyve Viyolu,15220,89,0.75,0.068,25.95,205.9,621.7,534.43
S-11086,Standart Yumurta Viyolu,62163,53,0.85,0.068,32.22,218.2,335.26,924.95
S-11087,Oluklu Mukavva Kutu,92388,278,0.8,0.127,27.98,209.1,1646.96,1121.36
S-11088,Endüstriyel Ambalaj Viyolu,65518,124,0.79,0.059,17.73,235.4,1179.53,770.24
S-11089,Endüstriyel Ambalaj Viyolu,20803,120,0.81,0.109,40.07,182.6,483.48,727.91
S-11090,Premium Meyve Viyolu,46368,62,0.7,0.07,43.77,216.8,353.69,942.71
S-11091,Oluklu Mukavva Kutu,20357,280,0.71,0.074,41.44,205.0,1105.78,756.21
S-11092,Premium Meyve Viyolu,30365,77,0.82,0.069,30.51,234.5,523.67,731.79
S-11093,Oluklu Mukavva Kutu,61213,300,0.97,0.062,31.02,232.8,780.3,799.21
S-11094,Standart Yumurta Viyolu,50654,51,0.72,0.078,24.74,236.7,559.64,693.02
S-11095,Premium Meyve Viyolu,17589,67,0.9,0.066,29.59,224.3,359.27,611.86
S-11096,Standart Yumurta Viyolu,66948,46,0.9,0.063,43.37,188.0,145.79,1112.81
S-11097,Endüstriyel Ambalaj Viyolu,90254,118,0.98,0.122,37.61,193.1,334.37,1111.29
S-11098,Standart Yumurta Viyolu,50539,55,0.93,0.06,43.87,233.4,204.86,953.12
S-11099,Premium Meyve Viyolu,25655,60,0.86,0.096,24.43,214.9,441.32,616.29
S-11100,Premium Meyve Viyolu,11487,65,0.89,0.12,36.33,183.1,272.1,659.09
S-11101,Endüstriyel Ambalaj Viyolu,55443,113,0.78,0.074,29.49,233.2,819.5,811.85
S-11102,Oluklu Mukavva Kutu,31884,245,0.73,0.098,44.75,226.2,1072.21,813.13
S-11103,Premium Meyve Viyolu,45227,83,0.77,0.091,38.4,226.3,454.5,921.45
S-11104,Standart Yumurta Viyolu,13847,50,0.85,0.111,31.8,209.2,303.9,592.08
S-11105,Endüstriyel Ambalaj Viyolu,45649,113,0.94,0.104,18.93,226.0,727.16,635.07
S-11106,Standart Yumurta Viyolu,44465,54,0.86,0.061,43.02,191.0,190.87,869.97
S-11107,Standart Yumurta Viyolu,75031,52,0.81,0.129,28.69,190.2,380.93,885.48
S-11108,Oluklu Mukavva Kutu,17266,277,0.74,0.111,31.97,222.9,1563.32,597.51
S-11109,Premium Meyve Viyolu,58193,65,0.97,0.147,40.78,186.6,194.61,1011.82
S-11110,Oluklu Mukavva Kutu,23487,296,0.7,0.094,16.38,212.6,2890.3,430.08
S-11111,Standart Yumurta Viyolu,39937,53,0.88,0.137,34.86,206.0,304.83,764.84
S-11112,Standart Yumurta Viyolu,15772,45,0.79,0.055,35.06,231.8,306.42,632.28
S-11113,Premium Meyve Viyolu,16026,75,0.96,0.141,22.96,234.2,511.39,461.61
S-11114,Oluklu Mukavva Kutu,60197,188,0.72,0.054,36.61,206.7,803.11,927.64
S-11115,Premium Meyve Viyolu,14635,77,0.9,0.05,39.18,184.8,223.71,651.99
S-11116,Endüstriyel Ambalaj Viyolu,39427,100,0.85,0.085,24.62,237.8,738.19,672.87
S-11117,Premium Meyve Viyolu,64559,89,0.83,0.138,24.04,185.7,651.48,874.89
S-11118,Oluklu Mukavva Kutu,45554,169,0.87,0.055,19.21,217.4,1063.9,608.71
S-11119,Oluklu Mukavva Kutu,25650,278,0.86,0.078,43.45,230.5,864.11,814.66
S-11120,Standart Yumurta Viyolu,33507,48,0.73,0.099,19.82,238.7,701.19,547.24
S-11121,Standart Yumurta Viyolu,62550,46,0.81,0.114,18.87,205.8,547.48,743.03
S-11122,Endüstriyel Ambalaj Viyolu,47002,129,0.71,0.141,39.99,197.9,729.28,924.1
S-11123,Oluklu Mukavva Kutu,52899,172,0.79,0.086,16.99,239.4,1821.88,659.21
S-11124,Endüstriyel Ambalaj Viyolu,11044,103,0.83,0.145,22.38,211.9,984.08,457.32
S-11125,Premium Meyve Viyolu,48219,78,0.72,0.069,21.44,224.3,822.85,654.71
S-11126,Oluklu Mukavva Kutu,91620,212,0.76,0.136,43.27,211.1,902.99,1200.96
S-11127,Endüstriyel Ambalaj Viyolu,58270,117,0.71,0.077,34.63,212.0,690.64,935.93
S-11128,Endüstriyel Ambalaj Viyolu,35614,126,0.91,0.099,30.38,196.1,464.29,644.26
S-11129,Premium Meyve Viyolu,29735,60,0.91,0.144,24.88,182.5,416.41,605.52
S-11130,Endüstriyel Ambalaj Viyolu,13133,94,0.75,0.126,44.55,236.7,587.86,732.91
S-11131,Oluklu Mukavva Kutu,93354,152,0.91,0.095,31.22,231.0,604.05,1085.54
S-11132,Oluklu Mukavva Kutu,10191,246,0.85,0.108,20.67,234.1,1896.24,459.33
S-11133,Oluklu Mukavva Kutu,23624,202,0.73,0.11,18.63,184.7,1455.45,510.72
S-11134,Premium Meyve Viyolu,65026,75,0.88,0.059,27.93,190.5,347.23,887.26
S-11135,Standart Yumurta Viyolu,28661,49,0.91,0.083,17.84,238.6,469.9,485.52
S-11136,Standart Yumurta Viyolu,15754,48,0.89,0.052,39.31,212.2,194.21,690.8
S-11137,Endüstriyel Ambalaj Viyolu,58823,109,0.75,0.14,35.58,195.0,658.24,913.7
S-11138,Standart Yumurta Viyolu,86122,46,0.87,0.09,25.91,193.0,302.22,943.3
S-11139,Premium Meyve Viyolu,93521,86,0.83,0.095,22.62,229.5,853.28,959.58
S-11140,Endüstriyel Ambalaj Viyolu,19808,117,0.79,0.068,17.58,222.8,1175.38,441.72
S-11141,Standart Yumurta Viyolu,67014,55,0.82,0.092,29.08,202.1,364.27,881.7
S-11142,Premium Meyve Viyolu,41034,69,0.9,0.117,23.59,207.6,458.19,653.73
S-11143,Oluklu Mukavva Kutu,51288,250,0.71,0.14,21.32,193.7,1980.9,698.25
S-11144,Oluklu Mukavva Kutu,51688,265,0.89,0.058,19.03,218.7,1530.61,657.5
S-11145,Oluklu Mukavva Kutu,40619,169,0.87,0.076,34.52,187.0,493.53,842.73
S-11146,Premium Meyve Viyolu,27840,84,0.78,0.11,41.14,239.9,486.05,847.79
S-11147,Standart Yumurta Viyolu,30369,46,0.77,0.076,29.38,202.0,334.82,689.13
S-11148,Premium Meyve Viyolu,68925,74,0.81,0.088,40.1,219.0,354.75,1094.6
S-11149,Oluklu Mukavva Kutu,63282,180,0.95,0.054,41.12,210.8,403.16,921.38
S-11150,Oluklu Mukavva Kutu,37215,265,0.9,0.051,41.15,206.8,606.98,842.42
S-11151,Oluklu Mukavva Kutu,70731,217,0.83,0.1,27.11,220.7,1257.2,901.93
S-11152,Standart Yumurta Viyolu,21851,47,0.88,0.131,18.28,203.8,500.9,445.32
S-11153,Oluklu Mukavva Kutu,89076,160,0.96,0.058,17.18,231.0,904.3,865.36
S-11154,Premium Meyve Viyolu,52964,64,0.86,0.133,18.75,187.8,591.21,691.53
S-11155,Standart Yumurta Viyolu,42534,50,0.82,0.083,33.2,235.8,378.84,807.69
S-11156,Endüstriyel Ambalaj Viyolu,77300,83,0.79,0.074,38.61,183.4,352.35,985.27
